instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_celcius,hum_percent,windspeed_kmh,temp_group,hum_group,windspeed_group
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,9.8,81.0,0.0,Rendah,Sangat Tinggi,Rendah
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,9.0,80.0,0.0,Rendah,Sangat Tinggi,Rendah
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,9.0,80.0,0.0,Rendah,Sangat Tinggi,Rendah
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,9.8,75.0,0.0,Rendah,Tinggi,Rendah
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,9.8,75.0,0.0,Rendah,Tinggi,Rendah
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,9.8,75.0,6.0,Rendah,Tinggi,Rendah
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,9.0,80.0,0.0,Rendah,Sangat Tinggi,Rendah
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,8.2,86.0,0.0,Rendah,Sangat Tinggi,Rendah
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,9.8,75.0,0.0,Rendah,Tinggi,Rendah
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,13.1,76.0,0.0,Rendah,Tinggi,Rendah
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,15.6,76.0,17.0,Sedang,Tinggi,Tinggi
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,14.8,81.0,19.0,Sedang,Sangat Tinggi,Sangat Tinggi
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,17.2,77.0,19.0,Sedang,Tinggi,Sangat Tinggi
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,18.9,72.0,20.0,Sedang,Tinggi,Sangat Tinggi
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,18.9,72.0,19.0,Sedang,Tinggi,Sangat Tinggi
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,18.0,77.0,20.0,Sedang,Tinggi,Sangat Tinggi
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,17.2,82.0,20.0,Sedang,Sangat Tinggi,Sangat Tinggi
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,18.0,82.0,19.0,Sedang,Sangat Tinggi,Sangat Tinggi
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,17.2,88.0,17.0,Sedang,Sangat Tinggi,Tinggi
